,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
1100,1,2018 Volvo S90 T5 Momentum,24998,79418, FWD ,24–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,33444,0,1
1101,2,2021 Land Rover Defender 110 S,74991,19533, Four-wheel Drive ,17–20,Gasoline ,Automatic,I4,33181,1,1
1102,3,2015 GMC Sierra 2500 Denali,41823,71489, Four-wheel Drive ,None,E85 Flex Fuel ,6-Speed Automatic,6.0L V8 16V MPFI OHV Flexible Fuel,32114,1,1
1103,4,2021 Honda Passport EX-L,38989,16286, Front-wheel Drive ,20–25,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,35216,3,3
1104,5,2019 Jeep Grand Cherokee Limited,33500,44761, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,49008,3,3
1105,6,2021 Honda Odyssey EX,39845,19687, Front-wheel Drive ,19–28,Gasoline ,Automatic,Regular Unleaded V-6 3.5 L/212,19064,1,1
1106,7,2018 Chevrolet Trax LT,18990,56889, All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,77094,3,3
1107,8,2006 Lexus LX 470 ,24991,146320, Four-wheel Drive ,13–17,Gasoline ,5-Speed Automatic,4.7L V8 32V MPFI DOHC,77054,1,1
1108,9,2021 Mazda CX-5 Sport,24999,25879, Front-wheel Drive ,25–31,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,32822,1,1
1109,10,2015 BMW M4 Base,34519,92003, Rear-wheel Drive ,17–26,Gasoline ,7-Speed Automatic with Auto-Shift,3.0L I6 24V GDI DOHC Twin Turbo,90260,0,0
1110,11,2011 Chevrolet Camaro 2SS,27939,37024, Rear-wheel Drive ,None,Gasoline ,6-Speed Automatic,6.2L V8 16V MPFI OHV,44129,3,3
1111,12,2018 Mercedes-Benz Sprinter 2500 ,38999,70868, Rear-wheel Drive ,None,Diesel ,5-Speed Automatic,3.0L V6 24V DDI DOHC Turbo Diesel,98036,1,0
1112,13,2013 Toyota Sienna XLE,22998,97104, Front-wheel Drive ,18–25,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,60477,3,3
1113,14,2014 Mercedes-Benz E-Class E 350,17980,90886, Rear-wheel Drive ,21–30,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,90621,0,1
1114,15,2021 Aston Martin DBX Base,160468,5956, All-wheel Drive ,14–18,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,60467,3,3
1115,16,2019 Honda CR-V EX-L,31900,23129, Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,28056,3,3
1116,17,2019 Nissan Altima 2.5 S,21881,61206, Front-wheel Drive ,28–39,Gasoline ,Automatic CVT,2.5L I4 16V GDI DOHC,32808,3,3
1117,18,2018 Ford F-150 Raptor,68995,73100, Four-wheel Drive ,15–18,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,63044,3,3
1118,19,2019 Nissan Rogue SV,24900,61776, All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC,20904,0,1
1119,0,2020 Nissan Rogue SL,33895,16609, Front-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC,35806,1,1
1120,1,2019 Audi Q5 2.0T Prestige,43995,6220, All-wheel Drive ,22–27,Gasoline ,1-Speed Automatic,2.0L I4,98424,0,0
1121,2,2018 Ford F-150 XLT,34673,57525, Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC,44310,3,3
1122,3,2020 Toyota Tundra SR5,44492,68229, Four-wheel Drive ,13–17,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC,30041,0,1
1123,4,2018 Subaru Crosstrek 2.0i Premium,19428,101791, All-wheel Drive ,27–33,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC,60482,3,3
1124,5,2018 Hyundai Tucson SEL,21499,11144, All-wheel Drive ,21–26,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC,60185,3,3
1125,6,2016 Mercedes-Benz S-Class S 550 4MATIC,43999,80589, All-wheel Drive ,16–26,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,60169,1,0
