,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
900,6,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,72000,72000, Obsidian Black Metallic , Silk Beige / Espresso Brown , All-wheel Drive ,17–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
901,7,2018 BMW X5 xDrive35i,40000,40000, Space Gray Metallic , Black , All-wheel Drive ,18–24,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
902,8,2020 BMW X3 M40i,51998,51998, Carbon Black Metallic , Cognac , All-wheel Drive ,21–27,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
903,9,2021 Toyota Corolla LE,24575,24575, Black Sand Pearl , – , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
904,10,2020 Rolls-Royce Cullinan ,399995,399995, Black , Arctic White , All-wheel Drive ,12–20,Gasoline ,8-Speed Automatic,6.7L V12 48V GDI DOHC Twin Turbo
905,11,2019 BMW 330 i,36995,36995, Jet Black , Oyster , Rear-wheel Drive ,26–36,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
906,12,2013 Kia Soul +,9999,9999, Green , Black , Front-wheel Drive ,23–28,Gasoline ,Automatic,2.0L DOHC MPI dual-CVVT 16-valve I4 engine -inc: variable intake
907,13,2019 Nissan Altima 2.5 SR,27992,27992, Gun Metallic , Sport Interior , All-wheel Drive ,25–35,Gasoline ,Automatic CVT,2.5L I4 16V GDI DOHC
908,14,2010 Ford Mustang GT,13999,13999, Gold , Black , Rear-wheel Drive ,16–24,Gasoline ,5-Speed Manual,4.6L V8 24V MPFI SOHC
909,15,2019 Jeep Grand Cherokee Limited,34987,34987, Diamond Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
910,16,2019 Mercedes-Benz GLC 300 4MATIC,37787,37787, Black , Black , All-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
911,17,2019 Audi SQ5 3.0T Premium,46991,46991, Brilliant Black , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo
912,18,2021 Mercedes-Benz GLS 450 4MATIC,79981,79981, Diamond White Metallic , Macchiato Beige , All-wheel Drive ,20–24,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
913,19,2020 Mercedes-Benz AMG E 63 S 4MATIC,98999,98999, Designo , – , All-wheel Drive ,15–23,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
914,0,2019 BMW 330 i,33000,33000, Jet Black , Black , Rear-wheel Drive ,26–36,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
915,1,2021 Toyota Highlander XLE,42558,42558, Blizzard Pearl , Beige , Front-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
916,2,2020 Nissan Pathfinder SL,37000,37000, Gun Metallic , Rock Creek , Four-wheel Drive ,20–27,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC
917,3,2019 Ford Escape Titanium,30788,30788, White Platinum , Medium Light Stone , Four-wheel Drive ,21–27,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
918,4,2021 Lexus NX 300 Base,39581,39581, Obsidian Black , Black , Front-wheel Drive ,22–28,Gasoline ,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo
919,5,2020 Lincoln Aviator Reserve AWD,58498,58498, Pristine White , – , All-wheel Drive ,17–24,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
920,6,2018 Nissan Rogue SL,28789,28789, Magnetic Black , Charcoal , Front-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC
921,7,2020 Jeep Grand Cherokee Limited,38888,38888, Granite Crystal Clearcoat Metallic , – , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
922,8,2021 Lexus RX 350 RX 350,52000,52000, Eminent White Pearl , Caramel , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
923,9,2020 Cadillac XT4 Premium Luxury,37492,37492, Stellar Black Metallic , Black , Front-wheel Drive ,24–30,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
924,10,2017 Lexus GS 350 F Sport,37877,37877, Silver , Black , All-wheel Drive ,19–27,Gasoline ,6-Speed Automatic,3.5L V6 24V PDI DOHC
925,11,2018 BMW X2 sDrive28i,29571,29571, Alpine White , Oyster / Black , Front-wheel Drive ,23–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
926,12,2016 BMW X3 xDrive28i,22998,22998, Alpine White , Beige , All-wheel Drive ,21–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
927,13,2019 Cadillac XT4 Premium Luxury,34499,34499, Stellar Black Metallic , Black , Front-wheel Drive ,24–30,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
928,14,2019 BMW X3 xDrive30i,42998,42998, Black , Black , All-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
929,15,2021 GMC Acadia SLE,37377,37377, Summit White , Jet Black , All-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
930,16,2018 Cadillac XT5 Luxury,35489,35489, Stellar Black Metallic , Jet Black , All-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC
931,17,2021 Bentley Continental GT V8,259995,259995, Black , Ebony , All-wheel Drive ,16–26,Gasoline ,8-Speed Automatic with Auto-Shift,4.0L V8 32V GDI DOHC Twin Turbo
932,18,2019 Mercedes-Benz GLC 300 Base 4MATIC,39895,39895, Black , – , All-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
933,19,2020 Alfa Romeo Stelvio Ti Sport,39975,39975, White Tri-Coat , Red / Black , All-wheel Drive ,22–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo
934,0,2019 Mercedes-Benz GLC 300 Base 4MATIC,40624,40624, Polar White , Black , All-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
935,1,2019 BMW X7 xDrive40i,68998,68998, Mineral White Metallic , Coffee , All-wheel Drive ,20–25,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-6 3.0 L/183
936,2,2020 Ford Mustang EcoBoost Premium,27500,27500, Red , – , Rear-wheel Drive ,20–28,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
937,3,2019 Audi Q5 2.0T Premium Plus,37992,37992, Brilliant Black , Black , All-wheel Drive ,22–27,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
938,4,2019 Buick Envision Essence,31500,31500, Ebony Twilight Metallic , Ebony , All-wheel Drive ,21–27,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
939,5,2019 Honda CR-V EX-L,32250,32250, Basque Red Pearl II , Gray , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
940,6,2017 Hyundai Sonata Limited,24998,24998, Lakeside Blue , Gray , Front-wheel Drive ,25–35,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC
941,7,2020 Mercedes-Benz AMG G 63 Base,224998,224998, Black , – , All-wheel Drive ,13–15,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
942,8,2017 Mercedes-Benz GLS 450 Base 4MATIC,37998,37998, Palladium Silver Metallic , – , All-wheel Drive ,19–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
943,9,2019 Mercedes-Benz GLC 300 Base,37998,37998, Gray , Tan , Rear-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
944,10,2020 Acura TLX FWD,31564,31564, Majestic Black Pearl , Ebony , Front-wheel Drive ,23–33,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
945,11,2019 BMW X5 xDrive40i,51495,51495, Jet Black , Ivory White , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
946,12,2020 Mercedes-Benz GLS 450 Base 4MATIC,81499,81499, Black , Espresso Brown , All-wheel Drive ,19–23,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
947,13,2020 Kia Sorento LX,29500,29500, Passion Red , Stone Beige , Front-wheel Drive ,22–29,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC
948,14,2017 Lexus GS 350 F Sport,38977,38977, Liquid Platinum , Red , Rear-wheel Drive ,19–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
949,15,2019 Mercedes-Benz GLC 300 Base,46055,46055, Black , Black , Rear-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
950,16,2018 BMW M5 ,80988,80988, Singapore Gray Metallic , Silverstone , All-wheel Drive ,15–21,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
951,17,2021 Jeep Wrangler Unlimited Sahara,49977,49977, Black Clearcoat , Dark Saddle / Black , Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
952,18,2016 Audi A7 3.0T Premium Plus,33995,33995, White , Black , All-wheel Drive ,20–30,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged
953,19,2021 Nissan Rogue Sport SV,26690,26690, Magnetic Black , Charcoal , Front-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.0L I4 16V GDI DOHC
954,0,2019 Ford Escape Titanium,28495,28495, Agate Black , Charcoal Black , Four-wheel Drive ,21–27,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
955,1,2021 Lincoln Corsair Standard,37800,37800, Pristine White , Ebony , Front-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
956,2,2019 BMW 330 i xDrive,33950,33950, Blue , White , All-wheel Drive ,25–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
957,3,2019 Ford Fusion Energi Titanium,30000,30000, Agate Black , Ebony , Front-wheel Drive ,None,Hybrid ,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid
958,4,2020 Jeep Grand Cherokee Limited,37744,37744, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
959,5,2021 Toyota Camry SE,28689,28689, Celestial Silver Metallic , Black , Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
960,6,2019 Audi Q8 3.0T Premium,66490,66490, Orca Black Metallic , Okapi Brown , All-wheel Drive ,17–22,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo
961,7,2021 Kia Seltos S,27391,27391, Mars Orange , Black , All-wheel Drive ,27–31,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
962,8,2020 Volvo S60 T5 Momentum,33995,33995, Black Stone , Charcoal , Front-wheel Drive ,23–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
963,9,2022 Honda HR-V LX,27999,27999, Modern Steel Metallic , Black , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC
964,10,2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,59602,59602, Brilliant Blue Metallic , designo Platinum White Pearl , All-wheel Drive ,18–24,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
965,11,2019 Lexus RX 350 350,45888,45888, Nebula Gray Pearl , Gray , Front-wheel Drive ,20–28,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
966,12,2021 Honda Odyssey Elite,47000,47000, Platinum White Pearl , Beige , Front-wheel Drive ,19–28,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC
967,13,2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,50977,50977, Obsidian Black Metallic , – , All-wheel Drive ,19–25,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
968,14,2020 Porsche Panamera RWD,84998,84998, Black , Black , Rear-wheel Drive ,19–27,Gasoline ,8-Speed Automatic with Auto-Shift,3.0L V6 24V GDI DOHC Turbo
969,15,2021 Tesla Model Y Long Range,68950,68950, Blue , White / Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
970,16,2020 Mercedes-Benz GLE 350 Base 4MATIC,61785,61785, Black , Macchiato , All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
971,17,2019 Jeep Grand Cherokee SRT,61887,61887, Diamond Black , Black , Four-wheel Drive ,13–19,Gasoline ,8-Speed Automatic,6.4L V8 16V MPFI OHV
972,18,2020 Honda Pilot EX-L,37699,37699, Silver , – , All-wheel Drive ,18–26,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC
973,19,2012 Bentley Continental Flying Spur Speed,59995,59995, Black , – , All-wheel Drive ,10–17,E85 Flex Fuel ,6-Speed Automatic,6.0L W12 48V MPFI DOHC Twin Turbo Flexible Fuel
974,0,2020 Mazda CX-9 Signature,41408,41408, Snowflake White Pearl , Deep Chestnut , All-wheel Drive ,20–26,Gasoline ,6-Speed Automatic,2.5L
975,1,2020 Mercedes-Benz GLE 350 Base 4MATIC,53680,53680, Polar White , Macchiato Beige , All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
976,2,2021 Tesla Model Y Long Range,69707,69707, Pearl White Multi , White / Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
977,3,2021 Toyota Prius L,25998,25998, Midnight Black Metallic , Black , Front-wheel Drive ,58–53,Hybrid ,continuously variable (ecvt),4 Cylinder Engine
978,4,2017 Subaru Forester 2.5i Premium,13990,13990, Venetian Red Pearl , Gray , All-wheel Drive ,26–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC
979,5,2021 BMW X3 xDrive30i,49998,49998, Blue , Cream , All-wheel Drive ,23–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
980,6,2019 Land Rover Range Rover Sport HSE MHEV,64750,64750, Santorini Black , Ebony/Ebony/Ebony/Ebony , Four-wheel Drive ,19–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC
981,7,2021 Acura TLX Technology,42252,42252, Steel Gray , Espresso , All-wheel Drive ,21–29,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
982,8,2020 Toyota Camry SE,26223,26223, Celestial Silver Metallic , Black , Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
983,9,2020 Ford Edge SE,29500,29500, Oxford White , Ebony , Front-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
984,10,2018 Honda Accord LX,22499,22499, Black , Black , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
985,11,2022 Mercedes-Benz GLE 450 AWD 4MATIC,92999,92999, MANUFAKTUR Diamond White Metallic , Macchiato Beige , All-wheel Drive ,None,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
986,12,2019 Volvo XC60 T5 Momentum,38253,38253, Onyx Black , Charcoal , All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
987,13,2020 Mercedes-Benz GLE 350 Base 4MATIC,54992,54992, Gray Metallic , – , AWD ,19–26,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
988,14,2021 GMC Sierra 1500 Denali,61495,61495, Onyx Black , Jet Black , Four-wheel Drive ,16–22,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
989,15,2015 Mercedes-Benz M-Class ML 350 4MATIC,22998,22998, Palladium Silver Metallic , Black , All-wheel Drive ,17–22,E85 Flex Fuel ,7-Speed Automatic,3.5L V6 24V GDI DOHC Flexible Fuel
990,16,2021 Ford F-150 Lariat,64999,64999, Agate Black Metallic , Black , Four-wheel Drive ,None,Hybrid ,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo Hybrid
991,17,2019 BMW 330 i,34480,34480, Mineral Gray Metallic , Black , Rear-wheel Drive ,26–36,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
992,18,2019 Mercedes-Benz S-Class S 450 4MATIC,58622,58622, Selenite Grey , Black , All-wheel Drive ,18–28,Gasoline ,9g tronic automatic,V6 Cylinder Engine
993,19,2019 BMW 330 i xDrive,39577,39577, Mineral Gray Metallic , Black , All-wheel Drive ,25–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
994,0,2020 Lincoln Corsair Standard,37995,37995, Black , Sandstone , All-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
995,1,2018 Honda Accord LX,23996,23996, Radiant Red Metallic , Ivory , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
996,2,2020 Ford Transit-250 Base,59567,59567, Oxford White , Dark Palazzo Gray , All-wheel Drive ,None,Gasoline ,10-Speed Automatic,3.5L V6 24V PDI DOHC
997,3,2018 BMW X5 M Base,62295,62295, Gray Metallic , Black , All-wheel Drive ,14–19,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
998,4,2019 Buick Encore Essence,24210,24210, Satin Steel Gray Metallic , Ebony , Front-wheel Drive ,25–30,Gasoline ,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo
999,5,2020 RAM 1500 Laramie,43914,43914, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
1000,6,2019 Volvo XC60 T5 Inscription,41267,41267, Crystal White , Maroon Brown , Front-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1001,7,2021 Honda Pilot Special Edition,39988,39988, Modern Steel Metallic , Black , Front-wheel Drive ,20–27,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
1002,8,2019 Lincoln Nautilus Reserve,42999,42999, Ceramic Pearl Metallic , Ebony , All-wheel Drive ,20–25,Gasoline ,8-Speed Automatic,2.7L V6 24V GDI DOHC Twin Turbo
1003,9,2019 Honda Odyssey EX-L,37279,37279, White Diamond Pearl , Beige , Front-wheel Drive ,19–28,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
1004,10,2019 BMW 430 Gran Coupe i xDrive,29999,29999, Brown Metallic , Venetian Beige , All-wheel Drive ,23–33,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1005,11,2020 Volkswagen Tiguan 2.0T SEL Premium R-Line,38900,38900, Pure White , Saffrano Orange / Black , All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1006,12,2019 Mazda CX-9 Touring,34285,34285, Machine Gray Metallic , Black , All-wheel Drive ,20–26,Gasoline ,6-Speed Automatic,2.5L V6 24V
1007,13,2018 Mercedes-Benz GLE 350 Base 4MATIC,37744,37744, Gray , Black , All-wheel Drive ,18–22,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
1008,14,2021 Ford Edge ST,44995,44995, Agate Black Metallic , Ebony , All-wheel Drive ,19–25,Gasoline ,7-Speed Automatic,2.7L V6 24V GDI DOHC Twin Turbo
1009,15,2013 Mercedes-Benz S-Class S 550 4MATIC,24057,24057, Diamond Silver , Black , All-wheel Drive ,15–24,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
1010,16,2019 Land Rover Range Rover Sport 3.0L Supercharged HSE,74777,74777, Santorini Black , Ebony/Ebony/Ebony/Ebony , Four-wheel Drive ,17–23,Gasoline ,Automatic,V6
1011,17,2020 Lamborghini Urus Base,284000,284000, Grigio , Nero Ade , All-wheel Drive ,12–17,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
1012,18,2019 Honda CR-V EX-L,32400,32400, Modern Steel Metallic , Gray , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
1013,19,2015 Porsche Macan Turbo,40998,40998, Rhodium Silver , Black , All-wheel Drive ,17–23,Gasoline ,7-Speed Automatic with Auto-Shift,3.6L V6 24V GDI DOHC Twin Turbo
1014,0,2018 Cadillac XT5 Luxury,31711,31711, Stellar Black Metallic , Jet Black , Front-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC
1015,1,2017 Mercedes-Benz AMG C 43 Base,52800,52800, Blue , Brown , All-wheel Drive ,19–26,Gasoline Fuel ,9-Speed A/T,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel
1016,2,2019 Mercedes-Benz GLC 300 Base 4MATIC,39927,39927, Black , Silk Beige / Black , All-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1017,3,2019 Chevrolet Equinox Premier w/1LZ,29500,29500, Sandy Ridge Metallic , Jet Black , Front-wheel Drive ,26–32,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo
1018,4,2020 Mercedes-Benz GLC 300 Base 4MATIC,42995,42995, Iridium Silver Metallic , – , All-wheel Drive ,21–28,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1019,5,2018 Toyota Sienna XLE Premium,34000,34000, Super White , Ash , Front-wheel Drive ,19–27,Gasoline ,8-Speed Automatic,3.5L V6 24V GDI DOHC
1020,6,2019 Jeep Grand Cherokee Limited,36247,36247, Diamond Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
1021,7,2020 Chevrolet Trax LS,21065,21065, Gray , – , Front-wheel Drive ,26–31,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo
1022,8,2017 Tesla Model X P100D,82900,82900, Black , White , All-wheel Drive ,81–92,Electric ,1-Speed Automatic,Electric
1023,9,2020 Ford Escape Titanium,33998,33998, Black , Ebony , All-wheel Drive ,23–31,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1024,10,2020 Land Rover Range Rover Evoque S,45950,45950, Eiger Grey , Ebony / Ebony , All-wheel Drive ,20–27,Gasoline ,Automatic,I4
1025,11,2019 Honda Pilot EX-L,36900,36900, Black , Black , Front-wheel Drive ,19–27,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI SOHC
1026,12,2020 Honda Passport EX-L,41699,41699, Black Forest Pearl , Gray , All-wheel Drive ,19–24,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
1027,13,2013 Land Rover Range Rover Sport HSE,20991,20991, Fuji White , Ebony , Four-wheel Drive ,13–18,Gasoline ,6-Speed Automatic,5.0L V8 32V GDI DOHC
1028,14,2008 Lexus LS 460 Base,8800,8800, Black , Black , Rear-wheel Drive ,16–24,Gasoline ,8-SPEED A/T,8 Cylinder Engine
1029,15,2017 Ford Escape Titanium,20000,20000, Bronze , – , Four-wheel Drive ,22–28,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1030,16,2020 Lexus ES 350 F Sport,42963,42963, Silver Lining Metallic , Red , Front-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
1031,17,2019 Honda CR-V EX-L,35573,35573, Gunmetal Metallic , Gray , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
1032,18,2019 Honda CR-V EX-L,34499,34499, Modern Steel Metallic , Gray , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
1033,19,2021 Toyota Corolla LE,26986,26986, Classic Silver , Black , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
1034,0,2019 BMW X5 xDrive40i,49490,49490, Alpine White , Black , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
1035,1,2018 BMW X2 xDrive28i,25742,25742, White , Black , All-wheel Drive ,21–31,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1036,2,2020 Acura RDX Technology Package,39998,39998, White , Ebony , All-wheel Drive ,21–27,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
1037,3,2018 Mercedes-Benz GLE 350 Base,41991,41991, Selenite Gray Metallic , Ginger , Rear-wheel Drive ,18–23,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
1038,4,2020 Chevrolet Tahoe Premier,64992,64992, Black , Jet Black , Four-wheel Drive ,15–21,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
1039,5,2021 Tesla Model Y Long Range,72788,72788, Pearl White Multi , Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
1040,6,2019 Honda CR-V EX-L,31998,31998, Gray , Black , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
1041,7,2020 Jeep Grand Cherokee Limited,47998,47998, Burgundy , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
1042,8,2020 Nissan Rogue Sport S,24900,24900, Nitro Lime Metallic , Charcoal , All-wheel Drive ,24–30,Gasoline ,Automatic CVT,2.0L I4 16V GDI DOHC
1043,9,2020 Lamborghini Urus Base,299996,299996, White , Nero Ade , All-wheel Drive ,12–17,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
1044,10,2019 BMW X5 xDrive40i,48487,48487, Mineral White Metallic , Black , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
1045,11,2020 Chevrolet Traverse Premier,43699,43699, Graphite Metallic , Jet Black , Front-wheel Drive ,18–27,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
1046,12,2019 RAM 1500 Classic SLT,32818,32818, Granite Crystal Clearcoat Metallic , Diesel Gray / Black , Four-wheel Drive ,16–23,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
1047,13,2016 Volvo XC90 T6 Momentum,19990,19990, White , – , All-wheel Drive ,20–25,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC
1048,14,2019 Subaru Forester Premium,30988,30988, Jasper Green Metallic , Gray , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
1049,15,2013 Mercedes-Benz S-Class S 550 4MATIC,25890,25890, Gray , Black , All-wheel Drive ,15–24,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
1050,16,2020 Lexus RX 350L Base,51498,51498, Atomic Silver , Black , Front-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
1051,17,2019 Tesla Model 3 Long Range,55899,55899, Pearl White Multi , White / Black , All-wheel Drive ,120–112,Electric ,1-Speed Automatic,Electric
